date,home_team,away_team,home_score,away_score,tournament,country,neutral,shootout_winner,first_shooter,match_outcome,home_elo_pre,away_elo_pre
1904-03-12,Scotland,Wales,1.0,1.0,British Home Championship,Scotland,False,,,Draw,1660.4338933247802,1358.922479404485
1904-03-21,Wales,Northern Ireland,0.0,1.0,British Home Championship,Wales,False,,,Away Win,1367.1186273157523,1338.096908154419
1904-03-26,Northern Ireland,Scotland,1.0,1.0,British Home Championship,Ireland,False,,,Draw,1351.648666036202,1652.237745413513
1904-04-09,Scotland,England,0.0,1.0,British Home Championship,Scotland,False,,,Away Win,1647.0304384487265,1644.7702695629696
1904-05-01,Belgium,France,3.0,3.0,Évence Coppée Trophy,Belgium,False,,,Draw,1500.0,1500.0
1904-06-02,Hungary,Austria,3.0,0.0,Friendly,Hungary,False,,,Home Win,1500.0453340986323,1503.6018871287145
1904-10-09,Austria,Hungary,5.0,4.0,Friendly,Austria,False,,,Home Win,1499.955236696291,1503.6919845310558
1905-02-12,France,Switzerland,1.0,0.0,Friendly,France,False,,,Home Win,1502.8012999960577,1500.0
1905-02-25,England,Northern Ireland,1.0,1.0,British Home Championship,England,False,,,Draw,1657.6314076766482,1356.8559730009886
1905-03-06,Wales,Scotland,3.0,1.0,British Home Championship,Wales,False,,,Home Win,1353.5668694339693,1634.1693003350479
1905-03-18,Scotland,Northern Ireland,4.0,0.0,British Home Championship,Scotland,False,,,Home Win,1619.393723686179,1365.045155839142
1905-03-27,England,Wales,3.0,1.0,British Home Championship,England,False,,,Home Win,1649.442224838495,1368.342446082838
1905-04-01,England,Scotland,1.0,0.0,British Home Championship,England,False,,,Home Win,1651.4484215803395,1621.6954772228178
1905-04-08,Northern Ireland,Wales,2.0,2.0,British Home Championship,Ireland,False,,,Draw,1362.7434023025032,1366.3362493409934
1905-04-09,Hungary,Austria,0.0,0.0,Friendly,Hungary,False,,,Draw,1500.0429305341383,1503.6042906932084
1905-04-17,Guernsey,Alderney,6.0,0.0,Muratti Vase,Guernsey,False,,,Home Win,1500.0,1500.0
1905-04-27,Jersey,Guernsey,0.0,1.0,Muratti Vase,Jersey,False,,,Away Win,1500.0,1507.1987000039423
